Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M10;0,3
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M09;-1,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M08;-1,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M07;-1,5
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M06;-1,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M05;-1,5
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M04;-1,7
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M03;-1,6
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M02;0,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2017M01;3,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M12;0,8
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M11;-0,8
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M10;-1,6
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M09;-3,9
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M08;-4,6
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M07;-4,3
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M06;-4,4
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M05;-6,7
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M04;-7,0
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M03;-6,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M02;-6,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2016M01;-4,3
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M12;-3,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M11;-3,2
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M10;-3,9
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M09;-3,5
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M08;-2,0
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M07;-0,4
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M06;-0,7
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M05;-1,6
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M04;-1,1
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M03;-1,1
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M02;-1,3
12 Galicia;04 Vivienda, agua, electricidad, gas y otros combustibles;Variación en lo que va de año;2015M01;0,1
