nombre,params,metrics
ES11,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     201 days 00:00:00
mse                  0.020316
rmse                 0.138435
mae                  0.135294
mape                 0.720889
mdape                0.724215
smape                1.185926
coverage             0.788459"
ES12,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     200 days 14:02:55.609756098
mse                            0.001508
rmse                           0.037943
mae                            0.030825
mape                            0.13115
mdape                          0.107918
smape                          0.129375
coverage                       0.697142"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                            0.001705
rmse                           0.040068
mae                            0.032951
mape                           0.137074
mdape                          0.115781
smape                          0.138647
coverage                       0.712628"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     200 days 14:02:55.609756098
mse                            0.001735
rmse                           0.040538
mae                            0.033324
mape                           0.137366
mdape                          0.118944
smape                          0.140479
coverage                       0.680158"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                              0.0015
rmse                           0.038027
mae                            0.030599
mape                           0.139757
mdape                          0.099227
smape                          0.127107
coverage                       0.760035"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     200 days 14:02:55.609756098
mse                            0.001415
rmse                           0.036949
mae                            0.029695
mape                           0.128675
mdape                          0.103733
smape                          0.124522
coverage                       0.822552"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                            0.001433
rmse                           0.037161
mae                            0.029914
mape                           0.134437
mdape                          0.099241
smape                          0.124554
coverage                       0.746451"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     200 days 14:02:55.609756098
mse                            0.001826
rmse                           0.041516
mae                            0.033469
mape                           0.152393
mdape                           0.11228
smape                          0.137002
coverage                       0.827192"
ES12,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.001}","horizon     200 days 14:02:55.609756098
mse                            0.002203
rmse                           0.045734
mae                            0.038279
mape                            0.15308
mdape                          0.143155
smape                          0.163129
coverage                       0.640847"
ES12,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.1}","horizon     200 days 14:02:55.609756098
mse                            0.001478
rmse                           0.037741
mae                            0.030397
mape                           0.138264
mdape                          0.099463
smape                          0.126352
coverage                       0.757431"
ES12,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 1.0}","horizon     200 days 14:02:55.609756098
mse                            0.001902
rmse                           0.042208
mae                            0.034867
mape                           0.142022
mdape                          0.125298
smape                           0.14737
coverage                       0.880035"
ES2,"{'seasonality_prior_scale': 1.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.001}","horizon     201 days 00:00:00
mse                  0.001948
rmse                 0.043721
mae                   0.03534
mape                 0.191246
mdape                0.167287
smape                0.198813
coverage             0.734824"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.5, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001669
rmse                 0.040404
mae                  0.032066
mape                 0.181231
mdape                0.149353
smape                0.177121
coverage             0.777355"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.01}","horizon     201 days 00:00:00
mse                  0.001673
rmse                 0.040551
mae                  0.032399
mape                 0.181564
mdape                0.149853
smape                0.179878
coverage             0.754067"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'additive', 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001737
rmse                 0.041147
mae                  0.032957
mape                 0.204098
mdape                0.152118
smape                0.176641
coverage             0.772109"
ES2,"{'seasonality_prior_scale': 10.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 20.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.005603
rmse                  0.07293
mae                   0.06393
mape                 0.389219
mdape                0.324994
smape                 0.30027
coverage             0.874382"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.8, 'changepoint_prior_scale': 0.1}","horizon     201 days 00:00:00
mse                  0.001745
rmse                 0.041227
mae                  0.032992
mape                 0.205555
mdape                0.152661
smape                 0.17659
coverage             0.753739"
ES2,"{'seasonality_prior_scale': 20.0, 'seasonality_mode': 'multiplicative', 'holidays_prior_scale': 10.0, 'changepoint_range': 0.9, 'changepoint_prior_scale': 0.5}","horizon     201 days 00:00:00
mse                  0.009954
rmse                 0.095334
mae                  0.087212
mape                 0.514778
mdape                0.449077
smape                0.378516
coverage             0.868053"
