Dia,VentasN
2016-01-01,0.050400559
2016-01-01,0.094742677
2016-01-01,0.096216794
2016-01-01,0.098650681
2016-01-01,0.05074742
2016-01-01,0.121530551
2016-01-01,0.021791681
2016-01-01,0.024926717
2016-01-02,0.173695862
2016-01-02,0.257578127
2016-01-02,0.177624355
2016-01-02,0.249773629
2016-01-02,0.096013856
2016-01-02,0.228303673
2016-01-02,0.121874313
2016-01-02,0.124874449
2016-01-03,0.180059506
2016-01-03,0.154625553
2016-01-03,0.095504733
2016-01-03,0.108488603
2016-01-03,0.04480676
2016-01-03,0.145586561
2016-01-03,0.210668375
2016-01-03,0.13236665
2016-01-04,0.134322928
2016-01-04,0.376391624
2016-01-04,0.258935271
2016-01-04,0.235501915
2016-01-04,0.075936929
2016-01-04,0.032474795
2016-01-04,0.164304378
2016-01-04,0.185656627
2016-01-05,0.088339809
2016-01-05,0.2311135
2016-01-05,0.159165886
2016-01-05,0.203742786
2016-01-05,0.051916148
2016-01-05,0.312315069
2016-01-05,0.17092629
2016-01-05,0.132510161
2016-01-06,0.118095804
2016-01-06,0.045033522
2016-01-06,0.185370346
2016-01-06,0.207278998
2016-01-06,0.144156976
2016-01-06,0.130620602
2016-01-06,0.122201324
2016-01-06,0.067682376
2016-01-07,0.132630374
2016-01-07,0.148023678
2016-01-07,0.179164558
2016-01-07,0.080247899
2016-01-07,0.035919024
2016-01-07,0.298092053
2016-01-07,0.121352828
2016-01-07,0.223942286
2016-01-08,0.153876899
2016-01-08,0.288152958
2016-01-08,0.091176141
2016-01-08,0.187765892
2016-01-08,0.200152339
2016-01-08,0.085724419
2016-01-08,0.172676136
2016-01-08,0.370564121
2016-01-09,0.176124844
2016-01-09,0.262382361
2016-01-09,0.07927977
2016-01-09,0.165925541
2016-01-09,0.127728888
2016-01-09,0.180628712
2016-01-09,0.057732772
2016-01-09,0.163497285
2016-01-10,0.119026741
2016-01-10,0.182735524
2016-01-10,0.106614466
2016-01-10,0.14953507
2016-01-10,0.147145741
2016-01-10,0.024121082
2016-01-10,0.040986869
2016-01-11,0.057584986
2016-01-11,0.146583823
2016-01-11,0.038770973
2016-01-11,0.234347754
2016-01-11,0.195295038
2016-01-11,0.159828819
2016-01-11,0.335663427
2016-01-11,0.173779734
2016-01-12,0.215222715
2016-01-12,0.225420457
2016-01-12,0.07163736
2016-01-12,0.064102213
2016-01-12,0.166151865
2016-01-12,0.16011091
2016-01-12,0.19535753
2016-01-13,0.194866035
2016-01-13,0.176811752
2016-01-13,0.139713394
2016-01-13,0.116660717
2016-01-13,0.074400776
2016-01-13,0.139331996
2016-01-13,0.040795848
2016-01-13,0.295728147
