Dia,VentasN
2016-01-14,"0,266344621"
2016-01-14,"0,137209509"
2016-01-14,"0,438670234"
2016-01-14,1
2016-01-14,"0,632875463"
2016-01-14,"0,141736602"
2016-01-14,"0,647092298"
2016-01-15,"0,616314067"
2016-01-15,"0,817322244"
2016-01-15,"0,082562493"
2016-01-15,"0,089092738"
2016-01-15,"0,213778339"
2016-01-15,"0,263452366"
2016-01-15,"0,91904556"
2016-01-15,"0,204288514"
2016-01-15,"0,799873294"
2016-01-15,"0,746515373"
2016-01-15,"0,258543273"
2016-01-15,"0,180971257"
2016-01-15,"0,141601693"
2016-01-15,"0,632679392"
2016-01-15,"0,833554723"
2016-01-15,"0,708569922"
2016-01-16,"0,621078243"
2016-01-16,"0,172830559"
2016-01-16,"0,609606861"
2016-01-16,"0,114517988"
2016-01-16,"0,069747855"
2016-01-16,"0,334748745"
2016-01-16,"0,493153219"
2016-01-16,"0,214115543"
2016-01-16,"0,587700765"
2016-01-16,"0,379677094"
2016-01-16,"0,179096554"
2016-01-16,"0,196522702"
2016-01-16,"0,487071005"
2016-01-16,"0,211326358"
2016-01-16,"0,558764196"
2016-01-16,"0,54139164"
2016-01-17,"0,165896429"
2016-01-17,"0,05416855"
2016-01-17,"0,433871263"
2016-01-17,"0,143872066"
2016-01-17,"0,15402041"
2016-01-17,"0,369891442"
2016-01-17,"0,332865444"
2016-01-17,"0,50580014"
2016-01-17,"0,176753368"
2016-01-17,"0,136336154"
2016-01-17,"0,359342499"
2016-01-17,"0,491576039"
2016-01-17,"0,105038854"
2016-01-17,"0,12776485"
2016-01-17,"0,038237833"
2016-01-17,"0,482351712"
2016-01-18,"0,566454829"
2016-01-18,"0,176049683"
2016-01-18,"0,644382633"
2016-01-18,"0,586212518"
2016-01-18,"0,115604215"
2016-01-18,"0,055821763"
2016-01-18,"0,243782976"
2016-01-18,"0,213591873"
2016-01-18,"0,081363216"
2016-01-18,"0,766608482"
2016-01-18,"0,796331109"
2016-01-18,"0,713070573"
2016-01-18,"0,164627954"
2016-01-18,"0,72802471"
2016-01-18,"0,781229645"
2016-01-18,"0,339650276"
2016-01-19,"0,068128131"
2016-01-19,"0,125905518"
2016-01-19,"0,541584739"
2016-01-19,"0,603312145"
2016-01-19,"0,158386035"
2016-01-19,"0,70258749"
2016-01-19,"0,684778823"
2016-01-19,"0,505334761"
2016-01-19,"0,049701062"
2016-01-19,"0,208574826"
2016-01-19,"0,694689858"
2016-01-19,"0,723778092"
2016-01-19,"0,27846335"
2016-01-19,"0,190406945"
2016-01-19,"0,61788935"
2016-01-19,"0,164944168"
2016-01-20,"0,186866411"
2016-01-20,"0,522106181"
2016-01-20,"0,604804389"
2016-01-20,"0,219345483"
2016-01-20,"0,545971596"
2016-01-20,"0,214757046"
2016-01-20,"0,147359786"
2016-01-20,"0,711393027"
2016-01-20,"0,038942812"
2016-01-20,"0,718858383"
2016-01-20,"0,525243441"
2016-01-20,"0,261609237"
2016-01-20,"0,703857614"
2016-01-20,"0,694071236"
2016-01-20,"0,139873899"
2016-01-20,"0,042130465"
2016-01-21,"0,133524719"
2016-01-21,"0,206963205"
2016-01-21,"0,615883829"
2016-01-21,"0,779448125"
2016-01-21,"0,663076984"
2016-01-21,"0,557959886"
2016-01-21,"0,137964562"
2016-01-21,"0,203295354"
2016-01-21,"0,147116787"
2016-01-21,"0,661616412"
2016-01-21,"0,311134971"
2016-01-21,"0,064495599"
2016-01-21,"0,69870163"
2016-01-21,"0,447416838"
2016-01-21,"0,657897657"
2016-01-21,"0,095915878"
2016-01-22,"0,161262039"
2016-01-22,"0,642024819"
2016-01-22,"0,723372054"
2016-01-22,"0,056572926"
2016-01-22,"0,215232524"
2016-01-22,"0,759448005"
2016-01-22,"0,159773334"
2016-01-22,"0,676025075"
2016-01-22,"0,578312502"
2016-01-22,"0,327818379"
2016-01-22,"0,245104483"
2016-01-22,"0,804303066"
2016-01-22,"0,686767944"
2016-01-22,"0,06110404"
2016-01-22,"0,189837522"
2016-01-22,"0,743283893"
2016-01-23,"0,325886607"
2016-01-23,"0,539151386"
2016-01-23,"0,174852902"
2016-01-23,"0,145894418"
2016-01-23,"0,472537393"
2016-01-23,"0,573733376"
2016-01-23,"0,060609436"
2016-01-23,"0,55928482"
2016-01-23,"0,188958987"
2016-01-23,"0,19126717"
2016-01-23,"0,610536431"
2016-01-23,"0,508303975"
2016-01-23,"0,262716351"
2016-01-23,"0,134223652"
2016-01-23,"0,159221189"
2016-01-23,"0,603129522"
2016-01-24,"0,414703937"
2016-01-24,"0,142990223"
2016-01-24,"0,359338397"
2016-01-24,"0,07922587"
2016-01-24,"0,159043609"
2016-01-24,"0,480887029"
2016-01-24,"0,050412681"
2016-01-24,"0,149337149"
2016-01-24,"0,486246321"
2016-01-24,"0,133197248"
2016-01-24,"0,416167331"
2016-01-24,"0,409142597"
2016-01-24,"0,160969936"
2016-01-24,"0,183228023"
2016-01-24,"0,135513408"
2016-01-24,"0,356092298"
2016-01-25,"0,523223252"
2016-01-25,"0,135512557"
2016-01-25,"0,649475265"
2016-01-25,"0,844680809"
2016-01-25,"0,012321374"
2016-01-25,"0,196606786"
2016-01-25,"0,737520946"
2016-01-25,"0,655747393"
2016-01-25,"0,134021372"
2016-01-25,"0,067543027"
2016-01-25,"0,7596647"
2016-01-25,"0,218049712"
