Dia,VentasN
2016-01-28,0.690968757
2016-01-28,0.606387789
2016-01-28,0.392793368
2016-01-28,0.77275616
2016-01-28,0.666717796
2016-01-28,0.581899107
2016-01-28,0.660320618
2016-01-29,0.880367448
2016-01-29,0.667560704
2016-01-29,0.807853435
2016-01-29,0.777472137
2016-01-29,0.565541303
2016-01-29,0.66067419
2016-01-29,0.709399214
2016-01-29,0.737123062
2016-01-30,0.551541295
2016-01-30,0.296340555
2016-01-30,0.48866958
2016-01-30,0.603122433
2016-01-30,0.504396423
2016-01-30,0.46321254
2016-01-30,0.513958484
2016-01-30,0.541364775
2016-01-31,0.502622919
2016-01-31,0.374329877
2016-01-31,0.386906228
2016-01-31,0.402322837
2016-01-31,0.386271181
2016-01-31,0.361848527
2016-01-31,0.131868444
2016-01-31,0.422791045
2016-02-01,0.552773251
2016-02-01,0.585668192
2016-02-01,0.726817094
2016-02-01,0.637941616
2016-02-01,0.680641991
2016-02-01,0.759127038
2016-02-01,0.740669113
2016-02-01,0.67971742
2016-02-02,0.671676926
2016-02-02,0.674320191
2016-02-02,0.615752446
2016-02-02,0.603121485
2016-02-02,0.850358461
2016-02-02,0.605018773
2016-02-02,0.828225609
2016-02-02,0.634142529
2016-02-03,0.751324833
2016-02-03,0.622440632
2016-02-03,0.607144318
2016-02-03,0.635876653
2016-02-03,0.658668643
2016-02-03,0.634805396
2016-02-03,0.795988953
2016-02-03,0.615506847
2016-02-04,0.825507461
2016-02-04,0.724623996
2016-02-04,0.785077585
2016-02-04,0.818735708
2016-02-04,0.688285438
2016-02-04,0.748913373
2016-02-04,0.671432859
2016-02-04,0.488460916
2016-02-05,0.824749843
2016-02-05,0.763373198
2016-02-05,0.889743082
2016-02-05,0.784859881
2016-02-05,0.679492397
2016-02-05,0.953398798
2016-02-05,0.566643723
2016-02-05,0.684554528
2016-02-06,0.516150006
2016-02-06,0.566780028
2016-02-06,0.600444826
2016-02-06,0.303554724
2016-02-06,0.46991247
2016-02-06,0.48943351
2016-02-06,0.485393306
2016-02-06,0.361742608
2016-02-07,0.384878392
2016-02-07,0.303927751
2016-02-07,0.371274936
2016-02-07,0.481025328
2016-02-07,0.206022653
2016-02-07,0.367542132
2016-02-07,0.310659364
2016-02-07,0.408269965
2016-02-08,0.615941158
2016-02-08,0.588737353
2016-02-08,0.698705898
2016-02-08,0.583066818
2016-02-08,0.456616004
2016-02-08,0.671601469
2016-02-08,0.783446016
2016-02-08,0.713382729
2016-02-09,0.485303213
2016-02-09,0.559084439
2016-02-09,0.248830136
2016-02-09,0.516399101
2016-02-09,0.538211857
2016-02-09,0.347855884
2016-02-09,0.427816918
2016-02-09,0.508406378
2016-02-10,0.611076338
2016-02-10,0.697116299
2016-02-10,0.653050475
2016-02-10,0.709254577
2016-02-10,0.742219104
2016-02-10,0.649431769
2016-02-10,0.481895299
2016-02-10,0.704209026
2016-02-11,0.789526506
2016-02-11,0.641212006
2016-02-11,0.520322824
2016-02-11,0.692061214
2016-02-11,0.800048505
2016-02-11,0.62019002
2016-02-11,0.632546932
2016-02-11,0.578036473
2016-02-12,0.530782115
2016-02-12,0.745008464
2016-02-12,0.712538274
2016-02-12,0.637425803
2016-02-12,0.617721934
2016-02-12,0.769172716
2016-02-12,0.604066264
2016-02-12,0.785501214
2016-02-13,0.48126215
2016-02-13,0.461615297
2016-02-13,0.607848223
2016-02-13,0.480577877
2016-02-13,0.510407899
2016-02-13,0.23409992
2016-02-13,0.462145495
2016-02-13,0.549972903
2016-02-14,0.403765017
2016-02-14,0.369322538
2016-02-14,0.445463633
2016-02-14,0.43499581
2016-02-14,0.394988171
2016-02-14,0.489149044
2016-02-14,0.431766638
2016-02-14,0.197892259
2016-02-15,0.641517453
2016-02-15,0.659318067
2016-02-15,0.687790292
2016-02-15,0.549115615
2016-02-15,0.694830496
2016-02-15,0.912855332
2016-02-15,0.70685897
2016-02-15,0.586457811
2016-02-16,0.666379268
2016-02-16,0.656776769
2016-02-16,0.584323575
2016-02-16,0.635452485
2016-02-16,0.685038148
2016-02-16,0.509166121
2016-02-16,0.709640429
2016-02-16,0.543878443
2016-02-17,0.640956052
2016-02-17,0.64501948
2016-02-17,0.453859716
2016-02-17,0.593117581
2016-02-17,0.666269591
2016-02-17,0.554046952
2016-02-17,0.659519308
2016-02-17,0.7466201
2016-02-18,0.738589996
2016-02-18,0.647824585
2016-02-18,0.661681972
2016-02-18,0.757523068
2016-02-18,0.716297982
2016-02-18,0.525514435
2016-02-18,0.595143715
2016-02-18,0.59249045
2016-02-19,0.703022831
2016-02-19,0.710900166
2016-02-19,0.555588117
2016-02-19,0.817939834
2016-02-19,0.586535551
2016-02-19,0.771952089
2016-02-19,0.533179626
2016-02-20,0.611989867
2016-02-20,0.539325411
2016-02-20,0.444429051
2016-02-20,0.279274759
2016-02-20,0.474242489
2016-02-20,0.46826007
2016-02-20,0.426567743
2016-02-20,0.628958749
2016-02-21,0.41524462
2016-02-21,0.463079287
2016-02-21,0.420499698
2016-02-21,0.452272987
2016-02-21,0.515242713
2016-02-21,0.160158438
2016-02-21,0.361516168
2016-02-21,0.565501062
2016-02-22,0.553571372
2016-02-22,0.834479792
2016-02-22,0.66987557
2016-02-22,0.786656376
2016-02-22,0.636096771
2016-02-22,0.664118158
2016-02-22,0.692752926
2016-02-22,0.762969936
2016-02-23,0.576793453
2016-02-23,0.577120289
2016-02-23,0.552172142
2016-02-23,0.838029206
2016-02-23,0.810163024
2016-02-23,0.686681873
2016-02-23,0.76191089
2016-02-23,0.601996764
2016-02-24,0.63529705
2016-02-24,0.597378713
2016-02-24,0.618469754
2016-02-24,0.574809173
2016-02-24,0.664795439
2016-02-24,0.800238039
2016-02-24,0.515154476
2016-02-24,0.455096552
2016-02-25,0.753403924
2016-02-25,0.65880315
2016-02-25,0.556640275
2016-02-25,0.67170147
2016-02-25,0.669430535
2016-02-25,0.590556508
2016-02-25,0.538809906
2016-02-25,0.761730729
2016-02-26,0.499246254
2016-02-26,0.730449229
2016-02-26,0.710530626
2016-02-26,0.768658002
